"lista","nombre_visual","nombre_interno","tipo_sharepoint","obligatorio_sharepoint","valor_defecto","longitud_maxima","formato_fecha","opciones"
"Agradecimientos","Apellidos","Apellidos","text","False","","255.0","",""
"Agradecimientos","Colectivos","Colectivos","text","False","","255.0","",""
"Agradecimientos","E-mail","CorreoElectronico","text","False","","255.0","",""
"Agradecimientos","CP","CP","text","False","","255.0","",""
"Agradecimientos","Descripcion","Descripcion","text","False","","","",""
"Agradecimientos","Dirección","Direccion","text","False","","255.0","",""
"Agradecimientos","DirigidoA","DirigidoA","choice","False","","","","Personal de Metro de Málaga|Personal de Vigilancia (Seguridad)|Personal de la Oficina de Atención al Cliente|Quiero agradecer a varios colectivos (indique cuáles)|Es un agradecimiento general sobre el servicio"
"Agradecimientos","Escalera","Escalera","text","False","","255.0","",""
"Agradecimientos","Estacion","Estacion","choice","False","General / Ninguna específica","","","General / Ninguna específica|Cualquiera de Línea 1|Guadalmedina|Atarazanas|Andalucía Tech|Carranque|Barbarela|El Clínico|La Unión|Universidad|Ciudad de la Justicia|El Cónsul|El Perchel|Paraninfo|Portada Alta|Cualquiera de Línea 2|Guadalmedina|La Luz - La Paz|La Isla|El Perchel|Puerta Blanca|Princesa - Huelin|El Torcal|Palacio de los Deportes"
"Agradecimientos","EstadoCliente","EstadoCliente","choice","False","En trámite","","","En trámite|Resuelta aceptada|Resuelta gestionada|Resuelta denegada"
"Agradecimientos","FechaEpisodio","FechaEpisodio","dateTime","False","","","dateTime",""
"Agradecimientos","FechaModificacionEstadoCliente","FechaModificacionEstadoCliente","dateTime","False","[today]","","dateTime",""
"Agradecimientos","Localidad","Localidad","text","False","","255.0","",""
"Agradecimientos","Lugar","Lugar","choice","False","","","","Una estación|Un tren|Oficina de Atención al Cliente"
"Agradecimientos","Motivo","Motivo","choice","False","Atención del personal","","","Atención del personal|Resolución de incidencia|Mejora del servicio|Estado de instalaciones|Información proporcionada|Actuación de seguridad|Asistencia sobre accesibilidad|Ayuda para recuperar un objeto|Otros"
"Agradecimientos","Nacionalidad","Nacionalidad","choice","False","","","","AFGANISTÁN|ÅLAND|ALBANIA|ALEMANIA|ANDORRA|ANGOLA|ANGUILA|ANTIGUA Y BARBUDA|ANTILLAS NEERLANDESAS|ARABIA SAUDITA|ARGELIA|ARGENTINA|ARMENIA|ARUBA|AUSTRALIA|AUSTRIA|AZERBAIYÁN|BAHAMAS|BARÉIN|BANGLADÉS|BARBADOS|BÉLGICA|BELICE|BENÍN|BERMUDAS|BIELORRUSIA|BIRMANIA|BOLIVIA|BOSNIA Y HERZEGOVINA|BOTSUANA|ISLA BOUVET|BRASIL|BRUNÉI|BULGARIA|BURKINA FASO|BURUNDI|BUTÁN|CABO VERDE|ISLAS CAIMÁN|CAMBOYA|CAMERÚN|CANADÁ|REPÚBLICA CENTROAFRICANA|CHAD|REPÚBLICA CHECA|CHILE|CHINA|COLOMBIA|COMORAS|REPÚBLICA DEL CONGO|REP. DEM. DEL CONGO|COREA DEL SUR|COSTA DE MARFIL|COSTA RICA|CROACIA|CUBA|DINAMARCA|DOMINICA|REPÚBLICA DOMINICANA|ECUADOR|EGIPTO|EL SALVADOR|ERITREA|ESCOCIA|ESLOVAQUIA|ESPAÑA|ESTADOS UNIDOS|ESTONIA|ETIOPÍA|ISLAS FEROE|FILIPINAS|FINLANDIA|FIYI|FRANCIA|GABÓN|GAMBIA|GEORGIA|GHANA|GIBRALTAR|GRANADA|GRECIA|GROENLANDIA|GUADALUPE|GUAM|GUATEMALA|GUAYANA FRANCESA|GUERNSEY|GUINEA|GUINEA ECUATORIAL|GUINEA-BISSAU|GUYANA|HAITÍ|ISLAS HEARD Y MCDONALD|HONDURAS|HONG KONG|HUNGRÍA|INDIA|INDONESIA|INGLATERRA|IRÁN|IRAK|IRLANDA|ISLANDIA|ISRAEL|ITALIA|JAMAICA|JAPÓN|JERSEY|JORDANIA|KAZAJISTÁN|KENIA|KIRGUISTÁN|KIRIBATI|KUWAIT|LAOS|LESOTO|LETONIA|LÍBANO|LIBERIA|LIBIA|LIECHTENSTEIN|LITUANIA|LUXEMBURGO|MACAO|REPÚBLICA DE MACEDONIA|MADAGASCAR|MALASIA|MALAUI|MALDIVAS|MALÍ|MALTA|ISLAS MALVINAS|ISLA DE MAN|ISLAS MARIANAS DEL NORTE|MARRUECOS|ISLAS MARSHALL|MARTINICA|MAURICIO|MAURITANIA|MAYOTTE|MÉXICO|MICRONESIA|MOLDAVIA|MÓNACO|MONGOLIA|MONTENEGRO|MONTSERRAT|MOZAMBIQUE|NAMIBIA|NAURU|ISLA DE NAVIDAD|NEPAL|NICARAGUA|NÍGER|NIGERIA|NIUE|NORFOLK|NORUEGA|NUEVA CALEDONIA|NUEVA ZELANDA|OMÁN|PAÍSES BAJOS|PAKISTÁN|PALAOS|AUTORIDAD NACIONAL PALESTINA|PANAMÁ|PAPÚA NUEVA GUINEA|PARAGUAY|PERÚ|ISLAS PITCAIRN|POLINESIA FRANCESA|POLONIA|PORTUGAL|PUERTO RICO|CATAR|REINO UNIDO|REUNIÓN|RUANDA|RUMANÍA|RUSIA|REPÚBLICA ÁRABE SAHARAUI DEMOCRÁTICA|ISLAS SALOMÓN|SAMOA|SAMOA ESTADOUNIDENSE|SAN BARTOLOMÉ|SAN CRISTÓBAL Y NIEVES|SAN MARINO|SAN MARTÍN|SAN PEDRO Y MIQUELÓN|SAN VICENTE Y LAS GRANADINAS|SANTA HELENA, A. Y T.|SANTA LUCÍA|SANTO TOMÉ Y PRÍNCIPE|SENEGAL|SERBIA|SEYCHELLES|SIERRA LEONA|SINGAPUR|SIRIA|SOMALIA|SRI LANKA|SUAZILANDIA|SUDÁFRICA|SUDÁN|SUECIA|SUIZA|SURINAM|SVALBARD Y JAN MAYEN|TAILANDIA|TAIWÁN|TANZANIA|TAYIKISTÁN|TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO|TERRITORIOS AUSTRALES FRANCESES|TIMOR ORIENTAL|TOGO|TOKELAU|TONGA|TRINIDAD Y TOBAGO|TÚNEZ|ISLAS TURCAS Y CAICOS|TURKMENISTÁN|TURQUÍA|TUVALU|UCRANIA|UGANDA|URUGUAY|UZBEKISTÁN|VANUATU|CIUDAD DEL VATICANO|VENEZUELA|VIETNAM|ISLAS VÍRGENES BRITÁNICAS|ISLAS VÍRGENES DE LOS ESTADOS UNIDOS|WALLIS Y FUTUNA|YEMEN|YIBUTI|ZAMBIA|ZIMBABUE"
"Agradecimientos","Nombre","Nombre","text","False","","255.0","",""
"Agradecimientos","Número","Numero","text","False","","255.0","",""
"Agradecimientos","Nº de documento","NumeroDeDocumento","text","False","","255.0","",""
"Agradecimientos","NumIdentificacionPersonaTrabajadora","NumIdentificacionPersonaTrabajad","text","False","","255.0","",""
"Agradecimientos","Piso","Piso","text","False","","255.0","",""
"Agradecimientos","Provincia","Provincia","text","False","","255.0","",""
"Agradecimientos","Puerta","Puerta","text","False","","255.0","",""
"Agradecimientos","Teléfono","Telefono","text","False","","255.0","",""
"Agradecimientos","Tipo de documento","TipoDeDocumento","choice","False","","","","NIF|PAS|NIE"
"Agradecimientos","Nº solicitud","Title","text","True","","255.0","",""
"Agradecimientos","Tren","Tren","choice","False","","","","No sé qué tren es|UT-3010|UT-3020|UT-3030|UT-3040|UT-3050|UT-3060|UT-3070|UT-3080|UT-3090|UT-3100|UT-3110|UT-3120|UT-3130|UT-3140|UT-4150|UT-4160|UT-4170|UT-4180|UT-4190|UT-4200|UT-4210"
"ConsultaInformacion","Apellidos","Apellidos","text","False","","255.0","",""
"ConsultaInformacion","E-mail","CorreoElectronico","text","False","","255.0","",""
"ConsultaInformacion","CP","CP","text","False","","255.0","",""
"ConsultaInformacion","Descripcion","Descripcion","text","False","","","",""
"ConsultaInformacion","Dirección","Direccion","text","False","","255.0","",""
"ConsultaInformacion","Escalera","Escalera","text","False","","255.0","",""
"ConsultaInformacion","EstadoCliente","EstadoCliente","choice","False","En trámite","","","En trámite|Resuelta aceptada|Resuelta gestionada|Resuelta denegada"
"ConsultaInformacion","FechaModificacionEstadoCliente","FechaModificacionEstadoCliente","dateTime","False","[today]","","dateTime",""
"ConsultaInformacion","Localidad","Localidad","text","False","","255.0","",""
